Time (h),Temperature1 (degC), Temperature2 (degC), Temperature3 (degC), Temperature4 (degC), Temperature5 (degC), Temperature6 (degC), Temperature7 (degC), Temperature8 (degC), Temperature9 (degC), Temperature10 (degC), Temperature11 (degC), Temperature12 (degC), Temperature13 (degC), 
1182,21.966576817587054,22.6361555436049,24.556836727747566,24.026251144741423,24.610152544374785,24.260138880451848,22.17022071145641,21.74212123156434,24.592167242562937,25.43728988466387,25.513127095181403,26.24571864805904,22.711903837169018,22.799096672495466
1183,21.970016177847413,22.639752147510308,24.560166282414173,24.02991534205279,24.61364833117915,24.263771585213988,22.174280551727747,21.745748896588907,24.593152726581764,25.440796194807263,25.516584088990896,26.24918911955143,22.7156956059938,22.802789297524043
1184,21.973455538107828,22.643348751415772,24.563495837080836,24.03357953936421,24.617144117983514,24.26740428997607,22.178340391999143,21.74937656161353,24.594138210600647,25.4443025049506,25.520041082800333,26.252659591043823,22.71948737481864,22.806481922552678
1185,21.97689489836813,22.646945355321293,24.566825391747443,24.037243736675578,24.620639904787822,24.271036994738267,22.18240023227048,21.753004226638097,24.595123694619474,25.447808815093993,25.52349807660977,26.256130062536158,22.723279143643424,22.810174547581312
1186,21.980334258628545,22.650541959226757,24.57015494641405,24.040907933987,24.624135691592187,24.27466969950035,22.186460072541877,21.756631891662778,24.5961091786383,25.45131512523733,25.526955070419206,26.25960053402855,22.727070912468207,22.81386717260989
1187,21.983773618888904,22.65413856313222,24.573484501080713,24.044572131298366,24.627631478396495,24.27830240426249,22.190519912813215,21.760259556687345,24.597094662657128,25.454821435380723,25.530412064228642,26.263071005520942,22.730862681293047,22.817559797638467
1188,21.987212979149263,22.657735167037686,24.57681405574732,24.04823632860979,24.631127265200803,24.281935109024573,22.19457975308461,21.76388722171197,24.598080146675954,25.45832774552406,25.533869058038135,26.266541477013334,22.73465445011783,22.8212524226671
1189,21.990652339409678,22.66133177094315,24.580143610413984,24.051900525921212,24.634623052005168,24.28556781378677,22.19863959335595,21.767514886736535,24.59906563069478,25.461834055667453,25.53732605184757,26.27001194850567,22.738446218942613,22.824945047695735
1190,21.994091699670037,22.664928374848614,24.58347316508059,24.055564723232578,24.638118838809532,24.289200518548853,22.202699433627345,21.771142551761216,24.600051114713665,25.46534036581079,25.540783045657008,26.27348241999806,22.742237987767453,22.82863767272437
1191,21.997531059930452,22.66852497875408,24.586802719747197,24.059228920544,24.64161462561384,24.292833223310993,22.206759273898626,21.774770216785782,24.60103659873249,25.468846675954183,25.544240039466445,26.276952891490453,22.746029756592236,22.832330297752947
1192,22.00097042019081,22.6721215826596,24.590132274413804,24.062893117855367,24.645110412418205,24.296465928073133,22.21081911417002,21.778397881810406,24.60202208275132,25.47235298609752,25.54769703327588,26.280423362982788,22.749821525417076,22.836022922781524
1193,22.00440978045117,22.675718186565007,24.59346182908041,24.06655731516679,24.648606199222513,24.300098632835216,22.21487895444136,21.78202554683503,24.603007566770145,25.475859296240912,25.551154027085317,26.28389383447518,22.75361329424186,22.839715547810158
1194,22.007849140711585,22.67931479047047,24.596791383747075,24.070221512478156,24.652101986026878,24.303731337597355,22.218938794712756,21.785653211859653,24.603993050788972,25.47936560638425,25.55461102089481,26.28736430596757,22.757405063066642,22.843408172838792
1195,22.011288500971887,22.682911394375992,24.60012093841374,24.07388570978958,24.655597772831243,24.30736404235944,22.222998634984094,21.78928087688422,24.6049785348078,25.482871916527642,25.558068014704247,26.290834777459963,22.761196831891482,22.84710079786737
1196,22.014727861232302,22.686507998281456,24.603450493080345,24.077549907100945,24.65909355963555,24.310996747121635,22.227058475255433,21.792908541908844,24.605964018826683,25.48637822667098,25.561525008513684,26.2943052489523,22.764988600716265,22.850793422896004
1197,22.01816722149266,22.69010460218692,24.606780047746952,24.081214104412368,24.662589346439916,24.314629451883718,22.231118315526828,21.796536206933467,24.60694950284551,25.489884536814316,25.56498200232312,26.29777572044469,22.768780369541105,22.854486047924638
1198,22.021606581753076,22.693701206092385,24.61010960241356,24.08487830172379,24.666085133244223,24.318262156645858,22.235178155798167,21.800163871958034,24.607934986864336,25.493390846957652,25.568438996132556,26.301246191937082,22.772572138365888,22.858178672953215
